,Year,Urban population,Rural population,"Population, female","Population, male (% of total population)","Population, total",Population growth (annual %),"Birth rate, crude (per 1,000 people)","Mortality rate, infant (per 1,000 live births)",GDP (current US$),"Inflation, GDP deflator (annual %)",GNI (current US$),Gross national expenditure (current US$),"Total reserves (includes gold, current US$)","Services, value added (current US$)",Merchandise exports (current US$),Merchandise imports (current US$),Military expenditure (current USD),Adjusted savings: education expenditure (current US$),Food production index (2014-2016 = 100)
0,1960,10157722,35796504,21159049,53.9562520321852,45954226,,45.749,184.9,3749265014.69971,,3743805557.32885,3975850482.99034,327400600.0,1367702645.94708,400000000,827000000,208845208.845209,,
1,1961,10589176,36471739,21697194,53.8955118063472,47060915,2.3797012269259,45.76,178.7,4118647627.04746,3.64646128699152,4113188163.79672,4439941201.17598,261302470.0,1489920201.59597,424000000,594000000,210105210.10521,,14.19
2,1962,10957300,37204541,22231652,53.839696451803,48161841,2.31242006400112,45.647,172.9,4310163796.72407,0.159948177876529,4304913711.46577,4641747165.0567,269316859.0,1577068458.63083,407000000,834000000,200340200.3402,,14.94
3,1963,11345748,37979302,22798530,53.779000730866,49325050,2.38650385787809,45.503,167.4,4630827383.45233,-1.14926605359157,4618647397.73205,4984460310.79378,307832196.0,1665476690.46619,407000000,985000000,219660219.66022,,15.5
4,1964,11756511,38796081,23398883,53.7137818769016,50552592,2.45821545233956,45.298,162.5,5204955900.88198,4.48844647759526,5191095684.16632,5604787904.24192,254226648.0,1848173036.53927,469000000,1070000000,257880257.880258,,15.92
5,1965,12188485,39653141,24030852,53.6456418245832,51841626,2.51791971765606,45.091,157.9,5929231415.37169,3.16588265329538,5904242167.15666,6518059638.80722,230344688.0,2216505669.8866,550000000,968000000,439635439.63544,,16.65
6,1966,12644969,40554445,24698014,53.5746502771628,53199414,2.58539639564733,44.831,154.0,6561108777.82444,4.60065831013121,6530659168.41663,6914111717.76565,208453006.0,2624737505.2499,634000000,916000000,549675549.67555,,16.66
7,1967,13126447,41503346,25401143,53.5031296933525,54629793,2.65320120242553,44.579,150.6,7464510709.7858,7.93964176579695,7414511761.44477,7961150776.98446,165486080.0,2897942041.15918,680000000,1112000000,478275478.275478,,17.78
8,1968,13632139,42492604,26136537,53.4313466700418,56124743,2.69973737137522,44.201,147.6,8041999160.0168,0.469288568146681,7976000544.30911,8368962620.74759,258389140.0,3068248635.0273,292000000,533000000,492555492.555493,,19.24
9,1969,14160809,43515996,26900599,53.3597639467027,57676805,2.7278332638243,43.724,144.8,8683116337.67325,2.33557140666495,8608117913.48173,9005249895.0021,332933120.0,3297354052.91894,332000000,713000000,552720552.720553,,19.8
10,1970,14714216,44576656,27696448,53.2871636632364,59290872,2.76002653560861,43.549,142.3,10027509449.811,3.70835302222319,9933511425.45149,10301553968.9206,194529622.0,3718185636.28727,449000000,775000000,635250635.250635,99932158.0206882,20.58
11,1971,15270833,45607948,28496527,53.1913623566149,60878781,2.64293253752341,43.445,140.0,10665896682.0664,5.87049050521757,10602710262.9147,10960100797.984,198501968.272939,3998950020.99958,492000000,608000000,739410739.410739,106027102.63,20.54
12,1972,15848050,46661515,29317529,53.0991329086996,62509565,2.64348946760201,43.342,137.8,9415016359.56604,6.77457514090709,9280297318.40882,9553469950.06027,323798402.128807,3610470122.26623,1169000000,1158000000,478207381.775708,111363567.816,21.13
13,1973,16502763,47782861,30194373,53.0309109234127,64285624,2.80164442306919,43.281,135.9,6383429490.21091,15.3014735392056,6304783732.14792,6349096755.88764,590281469.789527,2450108767.61562,1060000000,1127000000,477624634.164645,81962188.516,21.96
14,1974,17202091,48947078,31115326,52.9618792338873,66149169,2.85762988601594,43.115,133.9,8899191919.19192,26.0737017850942,8825591919.19192,9226666666.66667,688502075.449753,3546666666.66667,1193000000,2206000000,609191919.191919,123558286.866,22.79
15,1975,17945333,50181666,32093585,52.891532768088,68126999,2.94612675483924,43.017,132.2,11230606060.6061,21.0980989103002,11135306065.6566,12242929292.9293,562995171.933785,4755555555.55556,1053000000,2213000000,771161616.161616,155894284.91,23.35
16,1976,18738313,51492610,33135180,52.8196717562718,70230923,3.04151169440751,42.941,130.6,13168080808.0808,11.5024598958539,13023880818.1818,14175454545.4545,684140446.77116,5471313131.31313,1186000000,2311000000,833181818.181818,195358212.27,24.62
17,1977,19578462,52872643,34234632,52.7479518773385,72451105,3.11232079319945,43.027,129.0,15126060606.0606,10.5066658939712,14945208942.4242,16413939393.9394,715701866.633621,6153030303.0303,1213000000,2586000000,913585858.585859,224178134.13,25.67
18,1978,20468344,54320986,35393003,52.6763991601476,74789330,3.17633071983058,43.117,127.5,17811515151.5152,8.98234569588413,17630257535.3535,19424747474.7475,795941588.071206,7360909090.90909,1634000000,3859000000,1031868686.86869,282084120.576,26.06
19,1979,21453445,55953896,36695434,52.5943747376622,77407341,3.44063933128741,43.235,126.0,19688383838.3838,6.53340007195884,19454758401.0101,21809595959.596,1144047212.5687,8265151515.15152,2462000000,4498000000,1181818181.81818,291821376.015,27.09
20,1980,22627948,57996109,38300711,52.4946865425043,80624057,4.07154578640826,43.539,124.5,23654444444.4444,9.00820936080477,23372307730.303,26189090909.0909,1567771124.70579,9682323232.32323,2618000000,5350000000,1429292929.29293,350584615.95,27.51
21,1981,23915883,60354319,40120973,52.3900844571371,84270202,4.42312479149621,44.156,123.0,28100606060.6061,10.0773395761493,27838462487.8788,30769494949.4949,1455323108.8897,11658484848.4848,2883000000,5631000000,1737373737.37374,361900012.331,29.23
22,1982,25135552,62692646,41898068,52.2954256672783,87828198,4.13542839724215,44.567,121.4,30725971563.981,9.37164773700394,30403618323.2227,34087867298.5782,1812777232.67858,12788341232.2275,2397000000,5465000000,1852711542.51952,395247038.212,30.3
23,1983,26284885,64795487,43522925,52.2148130883787,91080372,3.63597146977849,44.669,119.7,28691889763.7795,5.27408362910478,28268946910.2362,31654330708.6614,2682849896.94921,12325984251.9685,3077000000,5329000000,1985972402.22612,367496309.83,31.26
24,1984,27356065,66647802,44983988,52.146661158099,94003867,3.15935942130459,44.469,117.9,31151825467.4978,9.6535544523753,30706971613.2383,34445607005.046,1610425669.5035,13714455327.9905,2558000000,5853000000,2114435830.07625,429897602.596,31.97
25,1985,28499348,68622204,46536484,52.0842871209472,97121552,3.26273876924285,44.245,116.2,31144920844.3272,4.53494278712631,30636427793.5356,34894261213.7203,1429436612.12654,13737137203.1662,2740000000,5890000000,2143969262.44946,520819272.481,32.85
26,1986,29771009,70847514,48269312,52.0274095059018,100618523,3.53730585510265,44.29,114.3,31899070055.7967,3.29200083720468,31255404416.615,34391754494.7303,1464868890.78015,14176379417.235,3384000000,5374000000,2282625018.77159,562597279.506,35.61
27,1987,31101229,73149864,50064842,51.9766742397607,104251093,3.54659790712452,44.207,112.5,33351529274.6869,4.51820577773638,32653162967.6668,35111913778.0367,1440835177.34739,14931255461.6953,4172000000,5822000000,2500172425.68453,685716422.307,36.81
28,1988,32476726,75491112,51899712,51.9303961611235,107967838,3.50310414413814,44.011,110.6,38472742808.3167,9.61756064978374,37638850724.0103,40614354884.6482,1192694259.38085,16982227285.6736,4522000000,6590000000,2721723239.62829,718272388.494638,37.41
29,1989,33866278,77804108,53724935,51.8897212372849,111670386,3.37181635871608,43.684,108.8,40171105580.1973,8.5850480171891,39282052963.5788,42692964552.9115,1302246971.95048,17525414249.5496,4709000000,7143000000,2580142638.07414,707075415.81,40.35
30,1990,35289006,80125063,55569854,51.8517504135479,115414069,3.29747116559875,43.147,106.9,40010423970.4576,6.45199916791344,39037984570.654,42193848455.1021,1046429500.63308,17349413359.5101,5589000000,7376000000,2810101624.33087,741721706.849,41.46
31,1991,36745692,82457877,57435675,51.8171515485413,119203569,3.23064337372364,42.531,105.0,45625336680.2047,13.4924162584725,44456518200.2892,46308420302.0678,1219792227.00139,19724084285.7239,6528000000,8439000000,3067123794.15818,889128376.6,42.81
32,1992,38030534,84344645,58986038,51.799018001845,122375179,2.62588681084768,41.829,102.9,48884672605.0356,10.2014077569994,47608477437.8744,50419349110.9933,1523790725.72188,21034753179.2514,7317000000,9379000000,3388776372.65377,999776681.358,44.84
33,1993,39332499,86214116,60526987,51.7892322305942,125546615,2.55855603034947,40.756,100.8,51809999353.1614,8.83855312720274,50299060705.3244,54959080214.7504,1995445624.14359,23139638948.1824,6688000000,9500000000,3308760744.5779,1005980242.9,48.13
34,1994,40818200,88426939,62325262,51.7774807762789,129245139,2.90337795268012,40.097,98.6,52293471392.5867,13.0284160538763,50683427525.4021,53715613192.8992,3715827396.79534,23370216665.4524,7365000000,8889000000,3320617929.37389,1165718510.155,49.81
35,1995,42379280,90738196,64211200,51.7635084968107,133117476,2.95211131596515,39.211,96.3,60636071684.1918,13.0064844651564,58850709437.5737,62281015745.4023,2527544035.20383,27201809409.2204,7992000000,11461000000,3665932426.75246,1412415879.024,53.53
36,1996,44041395,93193415,66221856,51.7455833545439,137234810,3.04613837555745,38.516,93.9,63320170084.4076,8.37360999714562,61353055619.3932,66184726002.0831,1307463615.27223,29022791161.2853,9321000000,12131000000,3547799671.27419,1472472235.464,54.29
37,1997,45717515,95612752,68225605,51.7261196428646,141330267,2.94060702615898,37.683,91.5,62433340468.0228,13.3835146350326,60247042295.8531,65360440011.0813,1794513746.87746,28501425973.7405,8717000000,11596000000,3320238862.60535,1445928085.704,55.35
38,1998,47403389,98072717,70258836,51.704208387321,145476106,2.89123826209315,37.079,89.2,62191955814.3478,7.52603689850602,59853183245.9639,62840084822.3307,1625676185.12262,28169955893.3171,8494000000,9308000000,3218881738.28494,1392087900.58555,58.36
39,1999,49074335,100620127,72328261,51.6827409420129,149694462,2.8584443558606,36.475,86.9,62973856843.5739,5.86228617966552,61165856811.2838,63989602581.3093,2117468754.80146,28866060099.3789,8424000000,10207000000,3080764514.44121,1431281023.8246,59.25
40,2000,50914288,103455636,74623871,51.6590602195283,154369924,3.07555291166784,35.761,84.8,82017743416.2841,38.5119861946479,79997743416.2841,82939879197.8739,2087167574.18215,41276907465.5714,9028000000,10864000000,2973072721.91798,1740750896.7322,60.63
41,2001,52828442,106389285,77005059,51.6353734907923,159217727,3.09207918437975,35.342,82.9,79484403984.8849,5.31063571353363,77324403984.8849,80245413947.0972,4218132004.43274,40815389900.3779,9238000000,10191000000,2842046790.42489,1555767008.17823,59.09
42,2002,54497125,108765682,78984415,51.6213058862819,163262807,2.50885975954029,34.868,81.1,79904985384.8652,3.72901330405134,77585985384.8652,79970347515.4271,8795802481.46045,42170802208.5093,9913000000,11233000000,3273401893.38254,1433789009.91482,60.3
43,2003,56037189,110839491,80749416,51.6113246020954,166876680,2.1893881210377,34.132,79.6,91760542940.0717,3.2586047519213,89549542940.0717,91266552842.7523,11815604886.3329,48082533720.3346,11930000000,13038000000,3722814794.29284,1508014303.10962,62.95
44,2004,57646810,113001810,82599094,51.5969751176423,170648620,2.23514920732307,33.513,78.1,107759683863.123,7.33061167394966,105552683863.123,106746916796.943,10718170456.621,54592774014.2435,13379000000,17949000000,4128195489.36711,1611200000.0,65.19
45,2005,59255126,115116972,84430090,51.5805045827917,174372098,2.15849215504399,32.867,76.8,120055291992.938,7.83976364018399,117669281992.533,124297731040.339,11109358834.068,61693936412.5234,16051000000,25357000000,4587117425.1653,2017800000.0,68.38
46,2006,60871443,117198541,86259841,51.5584608577266,178069984,2.0985131417675,32.402,75.5,137264061106.043,8.87281485712606,134597061106.043,147440549580.163,12878021928.1544,72243896245.3597,16930000000,29825000000,4969197611.46682,2619000000.0,69.89
47,2007,62558385,119366136,88180519,51.5290629788164,181924521,2.14152397156301,32.589,74.2,152385716311.916,7.2743193266169,148803716311.916,162384050585.313,15798067447.2965,80403996424.4601,17838000000,32590000000,5342575137.68038,2845900000.0,73.83
48,2008,64313863,121618092,90186327,51.4949826671806,185931955,2.17888921699852,32.361,72.9,170077814106.305,13.2040098194447,166154814106.305,188496526584.221,9024013987.18211,90322448098.6146,20323000000,42329000000,5226678786.50153,3353200000.0,77.46
49,2009,66149573,123973649,92290019,51.4577877288446,190123222,2.2291625346925,32.193,71.6,168152775283.032,20.666515814728,163745775283.032,180394874793.467,13606125133.5603,89306685622.4912,17523000000,31668000000,5274564970.76961,3034000000.0,78.67
50,2010,68053241,126401257,94467014,51.4194760359825,194454498,2.25257934512803,32.109,70.2,177165547828.889,10.8502394558279,173883549445.165,187505621720.679,17255570039.5703,93612587038.3041,21410000000,37807000000,5974613176.07619,2627400000.0,79.29
51,2011,69912136,128690602,96555715,51.3824854720784,198602738,2.11083457768435,31.872,68.7,213587517187.669,19.6446511272008,210570515718.579,224280916373.1,17697925812.3776,108775975060.241,25383000000,44012000000,6954787511.26317,3059500000.0,83.58
52,2012,71597051,130608810,98373877,51.3496411461585,202205861,1.7979754297027,31.601,67.1,224383544087.452,5.96857438102762,221138545197.284,242361545512.029,13688479776.3039,115723435717.209,24567000000,44105000000,7478971082.02563,3708021629.04982,83.64
53,2013,73126866,132210696,99958919,51.3197108086829,205337562,1.53689764905925,31.181,65.5,231218467669.571,6.96594307847739,227549469248.596,246893444397.343,7651260101.72058,120255598138.222,25121000000,44647000000,7645455529.42566,4344940555.86746,103.52
54,2014,74593651,133657977,101436628,51.2913157154286,208251628,1.40918297342086,30.462,63.9,244360858682.762,7.41155324078615,240405859169.416,260039239843.618,14306811155.4783,126337610730.557,24731000000,47590000000,8654923191.90126,4474532556.07632,98.12
55,2015,76003799,134965499,102985590,51.1845605136345,210969298,1.29655172364692,29.699,62.2,270556104886.456,4.11024865864624,265957105342.261,287995743271.238,20027864211.2597,141123465359.547,22089000000,44168000000,9483482373.08916,5176011179.11175,100.15
56,2016,77368591,136156249,104630327,50.9985217644935,213524840,1.20405567252781,29.306,60.6,313629998960.445,13.0019295157343,308284996572.792,336299630115.497,22027605269.5237,165431674899.726,20375000000,46847000000,9973768058.78466,5534663216.69256,101.73
57,2017,78853074,137526581,106376569,50.8379986094349,216379655,1.32813543357738,28.963,59.0,339205536454.445,4.02974599325579,334191537626.844,369831774379.705,18455861310.286,180624418705.079,21569000000,57746000000,11461253916.5641,6082047490.87095,108.4
58,2018,80566744,139164735,108293156,50.7156842101809,219731479,1.5371724033626,28.594,57.4,356128167702.894,3.84178663274797,350691168576.992,393387923935.298,11837177725.8521,188506886466.488,23425000000,60078000000,11732131762.0538,6264508915.59707,107.09
59,2019,82410851,140882429,110278237,50.6128272198787,223293280,1.6079813474837,28.276,55.9,320909472926.461,9.03633484170507,315299473211.467,353397863526.649,16586046186.2171,172073208185.46,23329000000,50332000000,10388318164.5683,5534663216.69256,113.59
60,2020,84437669,142759072,112381099,50.535778151853,227196741,1.73302782045863,27.967,54.4,300425609206.18,9.9444982105729,294966610252.22,324817645911.5,18521734363.9531,161269310334.711,21979000000,45837000000,10394502554.7242,5210287350.51278,119.78
61,2021,86636953,144765164,114586264,50.4817559642291,231402117,1.83406208240793,27.519,52.8,348262544719.247,10.2146766468593,343862544719.119,379375394747.535,22811522857.5295,181478920050.457,28319000000,72489000000,11304829853.2453,,126.52
62,2022,88979079,146845783,116863982,50.4445879841117,235824862,1.89324559780014,,,376532751806.989,12.999002698524,371236751806.989,419399453844.724,9926587077.28489,194084484267.405,30936000000,71072000000,,,
